dangerous_perm_count,total_permissions,exported_activities,services,receivers,urls_count,network_calls,label
9,27,3,2,4,39,2,1
5,18,3,2,4,38,2,1
3,14,2,0,2,0,2,0
12,34,6,2,3,49,5,1
1,16,2,0,2,5,0,0
15,40,4,1,2,13,2,1
0,7,0,1,1,10,1,0
0,14,2,2,1,1,2,0
3,12,2,2,1,7,1,0
12,35,5,1,4,24,4,1
15,27,5,2,1,18,3,1
1,10,2,2,0,7,0,0
8,38,4,3,2,48,2,1
0,9,1,0,0,2,2,0
2,15,1,1,1,4,1,0
11,24,3,1,1,25,7,1
0,10,0,0,0,2,0,0
9,37,4,3,1,47,8,1
0,6,2,0,2,0,1,0
12,22,4,3,2,47,3,1
0,5,2,2,2,2,1,0
13,30,4,2,2,36,2,1
3,16,2,2,2,5,0,0
2,17,2,0,1,10,2,0
7,27,5,2,2,46,2,1
2,14,2,2,2,8,2,0
6,20,3,2,3,43,2,1
12,42,2,3,3,13,6,1
1,6,0,2,0,8,0,0
3,8,0,2,2,8,0,0
12,42,4,4,3,43,3,1
2,7,1,2,1,2,2,0
14,35,2,4,3,46,2,1
1,7,2,0,1,2,1,0
1,16,1,0,0,10,2,0
8,34,5,4,4,31,3,1
2,10,1,1,1,3,2,0
3,11,0,0,1,8,2,0
0,9,1,1,1,9,0,0
0,9,1,0,0,4,1,0
0,14,1,1,2,0,1,0
12,40,3,3,1,12,7,1
2,7,1,2,0,1,2,0
6,20,3,1,3,22,2,1
15,31,2,1,1,31,7,1
3,12,1,2,1,2,0,0
7,21,4,2,1,43,7,1
6,33,5,1,2,26,4,1
2,13,0,1,2,8,2,0
11,24,5,2,1,30,2,1
1,16,0,0,1,7,0,0
11,22,2,3,4,21,2,1
1,8,1,2,0,9,1,0
10,37,6,4,2,37,3,1
10,28,6,1,3,35,5,1
7,18,4,2,2,43,6,1
0,8,1,0,2,3,2,0
7,23,2,1,3,44,5,1
0,13,0,2,1,6,0,0
10,28,6,2,2,24,4,1
3,8,2,0,2,0,1,0
0,9,2,2,2,2,2,0
0,15,0,2,1,6,0,0
2,12,0,0,1,1,2,0
0,6,0,0,0,4,1,0
3,13,1,1,2,9,2,0
2,7,1,1,1,4,2,0
0,12,2,0,1,0,1,0
3,14,0,1,1,6,2,0
9,25,2,4,1,21,6,1
2,12,0,0,1,2,1,0
2,8,1,0,0,2,1,0
6,30,6,2,1,50,8,1
7,25,3,2,1,19,3,1
1,7,0,1,0,7,1,0
7,19,5,3,1,50,7,1
3,11,1,2,2,3,1,0
3,9,0,0,1,1,1,0
10,32,2,4,1,26,6,1
7,37,3,2,1,47,3,1
9,38,5,2,1,24,7,1
2,14,2,0,0,4,2,0
13,42,4,2,4,50,6,1
3,14,2,2,2,3,0,0
13,43,6,3,3,11,6,1
0,13,0,1,1,7,2,0
3,10,0,0,2,6,0,0
3,10,0,1,0,10,2,0
14,33,6,4,3,16,7,1
3,17,0,1,1,9,2,0
1,14,0,0,0,9,1,0
12,29,3,3,4,37,6,1
8,29,2,3,4,13,8,1
12,26,6,2,2,32,4,1
3,13,0,0,1,6,0,0
3,13,0,2,1,7,2,0
0,15,1,0,1,7,2,0
12,31,4,3,3,26,3,1
2,12,2,1,0,7,0,0
3,16,0,0,0,7,2,0
6,25,6,4,2,34,6,1
0,8,1,0,2,1,2,0
3,18,2,1,2,7,1,0
13,23,5,3,3,18,2,1
11,27,4,2,1,45,2,1
9,35,6,2,3,20,3,1
8,20,3,1,1,22,7,1
0,10,2,1,1,2,2,0
0,8,0,1,0,6,0,0
0,10,2,1,2,4,1,0
0,7,0,0,1,9,0,0
10,34,3,3,1,22,6,1
0,8,1,0,1,1,2,0
0,6,0,0,2,4,2,0
13,34,2,2,2,30,2,1
3,14,2,1,2,0,1,0
14,33,4,1,4,15,6,1
0,9,1,1,2,7,1,0
3,16,1,0,0,2,0,0
1,11,0,1,0,3,0,0
15,37,3,1,1,35,7,1
14,37,2,2,3,12,8,1
11,37,5,4,4,34,4,1
2,8,1,1,2,3,0,0
13,31,5,3,4,15,4,1
10,28,6,3,2,15,8,1
3,18,2,2,2,4,2,0
15,34,5,4,1,31,6,1
3,9,2,2,2,10,0,0
0,14,2,2,2,6,1,0
7,25,4,4,3,23,8,1
12,23,3,3,3,23,6,1
6,31,4,2,3,43,4,1
3,13,1,0,0,0,2,0
1,10,2,2,0,7,0,0
2,16,1,1,2,9,2,0
11,21,4,1,3,29,7,1
2,12,2,0,1,0,0,0
1,9,2,0,1,5,1,0
1,9,1,0,1,10,0,0
14,28,3,4,3,15,7,1
0,11,0,2,2,4,1,0
1,13,1,0,1,1,1,0
2,11,0,0,1,6,2,0
1,15,1,1,2,0,2,0
13,25,3,2,4,48,4,1
2,12,0,1,1,1,2,0
7,31,2,3,3,17,6,1
1,8,1,2,0,7,1,0
0,13,2,2,0,7,1,0
3,13,2,1,0,6,1,0
11,23,6,2,2,33,5,1
10,23,6,2,1,18,4,1
14,42,6,4,1,35,2,1
2,14,2,2,1,10,1,0
12,36,6,4,3,17,2,1
3,8,0,2,0,1,2,0
14,43,6,2,1,31,3,1
12,31,6,2,4,35,4,1
0,9,2,2,2,4,1,0
14,35,6,2,4,46,7,1
6,33,3,4,1,35,3,1
2,9,0,1,2,8,2,0
14,31,6,2,1,19,3,1
14,39,3,4,4,16,5,1
0,8,1,0,0,10,2,0
13,35,6,3,4,34,8,1
1,13,2,2,1,3,2,0
2,12,2,0,0,3,1,0
3,18,2,0,2,6,1,0
2,13,1,2,2,4,1,0
10,25,6,2,3,44,8,1
1,9,1,1,0,4,1,0
0,15,2,2,1,3,1,0
2,10,1,1,2,1,0,0
11,22,6,2,3,45,8,1
0,7,2,0,2,3,1,0
6,23,3,2,2,13,2,1
14,36,6,3,3,22,8,1
12,30,4,3,2,24,2,1
0,7,2,0,0,9,1,0
13,24,3,2,4,49,7,1
14,37,4,1,4,24,4,1
1,9,2,1,2,5,2,0
11,40,4,3,1,28,6,1
11,32,5,4,4,24,5,1
12,32,6,2,3,11,7,1
0,10,0,1,1,8,2,0
1,15,2,1,0,8,0,0
3,11,2,1,0,4,0,0
2,12,1,0,2,6,0,0
1,16,2,0,1,5,1,0
10,28,4,1,1,25,6,1
2,16,1,2,2,4,0,0
2,12,0,0,1,5,0,0
2,10,1,0,0,9,2,0
7,26,6,3,3,31,6,1
13,33,3,2,2,41,5,1
6,20,4,4,4,36,4,1
2,11,2,0,2,4,2,0
13,27,2,3,2,31,4,1
0,8,1,1,0,1,1,0
8,29,3,3,1,20,5,1
0,5,0,0,2,10,1,0
13,36,5,2,2,39,6,1
14,28,2,2,4,28,8,1
2,7,2,2,2,5,1,0
5,34,5,2,1,11,4,1
3,17,0,2,1,0,2,0
3,18,1,1,0,2,0,0
3,14,1,2,0,9,1,0
12,34,5,2,1,45,6,1
13,24,6,3,4,37,6,1
5,19,5,1,3,40,3,1
9,28,5,1,4,10,7,1
13,33,5,4,4,25,5,1
14,29,3,1,4,34,8,1
6,35,5,3,4,37,6,1
2,12,0,1,2,1,0,0
13,30,3,2,3,13,7,1
14,37,4,2,2,11,7,1
3,9,1,2,0,8,0,0
10,40,2,4,1,37,6,1
2,13,1,2,2,2,0,0
1,10,1,1,2,3,2,0
9,23,2,3,3,23,3,1
3,10,0,1,0,7,2,0
3,12,1,2,2,6,0,0
2,7,1,0,2,3,1,0
7,21,3,1,4,13,7,1
11,36,5,3,3,30,4,1
5,33,2,2,3,33,4,1
1,10,0,2,1,1,2,0
7,22,6,2,3,13,6,1
3,18,1,2,1,10,2,0
5,21,5,1,3,30,7,1
7,22,2,1,1,42,3,1
3,8,1,2,0,2,2,0
2,14,2,0,1,2,0,0
0,7,0,1,1,9,1,0
15,44,6,2,2,26,7,1
15,30,4,2,1,25,4,1
2,8,1,0,2,7,1,0
3,15,0,0,1,7,1,0
15,45,4,4,2,23,3,1
3,16,0,1,0,6,0,0
1,6,0,1,2,6,2,0
2,11,0,2,1,0,1,0
2,13,0,1,0,0,1,0
0,9,0,2,1,2,1,0
3,15,1,1,2,5,1,0
3,11,0,0,0,6,0,0
15,42,3,4,4,34,3,1
3,13,1,2,0,5,1,0
10,28,5,1,1,36,5,1
11,40,3,3,2,22,8,1
14,40,3,4,1,46,5,1
1,15,1,2,0,5,1,0
1,16,0,2,2,2,1,0
1,10,1,0,2,3,1,0
12,29,4,3,4,35,7,1
11,35,5,3,2,47,3,1
0,15,0,2,1,4,0,0
0,7,1,0,2,4,0,0
7,19,3,4,4,28,7,1
15,31,6,2,4,12,8,1
15,37,4,3,2,10,4,1
0,7,1,2,2,7,1,0
10,30,5,3,1,11,8,1
10,35,2,3,2,12,7,1
11,24,5,4,1,12,7,1
0,9,0,0,2,6,0,0
12,38,2,1,3,32,4,1
15,26,5,2,3,47,8,1
8,37,4,3,2,11,7,1
5,24,3,4,3,18,3,1
3,15,2,2,1,10,0,0
1,13,1,1,1,7,1,0
3,13,0,1,2,10,1,0
6,34,6,2,2,16,3,1
3,12,0,0,1,3,1,0
10,23,5,4,3,17,2,1
0,8,0,0,0,6,0,0
1,10,2,2,2,5,0,0
0,7,2,1,0,1,0,0
2,8,0,2,1,8,1,0
2,7,2,1,2,6,1,0
7,17,5,2,4,25,6,1
2,12,1,2,1,2,1,0
0,5,0,1,0,3,0,0
5,28,2,1,3,35,2,1
1,12,1,2,1,6,0,0
0,9,2,2,2,3,0,0
2,11,1,1,2,10,1,0
1,10,0,0,1,9,2,0
1,6,2,2,2,4,2,0
12,38,2,1,1,26,5,1
3,9,2,0,0,7,2,0
8,22,6,4,1,40,5,1
8,31,2,1,1,13,4,1
7,17,3,4,3,34,8,1
0,14,2,0,0,0,2,0
8,34,3,4,1,20,5,1
13,37,4,3,1,15,2,1
7,34,4,1,4,36,3,1
12,42,2,2,4,22,2,1
2,12,0,1,1,2,1,0
3,11,0,1,2,10,1,0
14,31,6,1,1,40,7,1
2,17,0,0,0,1,1,0
0,11,1,2,1,3,0,0
3,11,1,0,0,0,1,0
1,9,2,1,0,0,1,0
0,12,0,2,1,4,2,0
3,11,2,2,2,8,1,0
8,38,5,3,2,16,2,1
1,7,0,2,2,8,2,0
7,29,2,3,1,43,7,1
2,14,2,2,0,8,0,0
2,14,2,1,2,10,1,0
3,17,0,0,1,9,0,0
3,15,1,2,0,5,0,0
0,13,1,2,2,2,1,0
2,15,2,2,2,4,0,0
3,16,2,1,0,3,0,0
5,21,4,2,2,26,5,1
15,41,3,1,3,46,7,1
2,11,1,1,2,6,1,0
1,13,1,0,1,1,2,0
1,16,1,1,1,0,1,0
14,32,3,1,4,23,4,1
6,21,4,4,1,17,7,1
2,9,1,0,0,9,2,0
2,17,2,0,2,3,2,0
3,17,2,2,1,6,0,0
2,17,1,0,1,8,2,0
12,27,3,2,2,14,2,1
2,11,1,0,1,8,1,0
1,14,1,1,2,6,1,0
2,10,1,0,1,9,2,0
2,13,2,1,0,5,2,0
3,8,0,0,1,9,0,0
13,33,6,3,3,12,5,1
0,11,2,0,1,0,0,0
9,35,4,1,4,21,5,1
0,8,2,2,2,4,2,0
1,15,0,1,0,1,0,0
2,9,1,2,1,1,0,0
7,34,6,1,2,14,4,1
9,25,5,1,1,49,3,1
10,26,3,3,3,15,6,1
3,11,1,2,1,7,0,0
13,25,5,2,1,23,7,1
3,18,2,1,2,6,1,0
8,25,6,3,1,44,3,1
11,32,5,1,1,36,7,1
14,40,3,1,4,29,2,1
6,19,3,4,3,11,5,1
1,10,2,2,0,5,0,0
2,9,0,1,1,0,2,0
0,6,0,1,0,10,1,0
1,10,0,1,2,9,1,0
0,15,2,2,0,7,2,0
7,31,5,3,1,46,7,1
10,21,6,1,2,49,7,1
3,9,2,2,0,4,2,0
15,33,2,4,2,31,8,1
10,28,4,2,4,31,2,1
3,18,1,2,0,6,2,0
0,11,0,1,0,2,1,0
3,15,2,1,0,4,2,0
1,15,0,2,2,2,0,0
